taxonomy_old	taxonomy_new	taxonomy_id_new
k__Bacteria|p__Firmicutes|c__CFGB9468|o__OFGB9468|f__FGB9468|g__GGB28434|s__GGB28434_SGB41017|t__SGB41017	k__Bacteria|p__Firmicutes|c__CFGB9516|o__OFGB9516|f__FGB9516|g__GGB28434|s__GGB28434_SGB41017|t__SGB41017	2|1239||||||
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__GGB77101|s__GGB77101_SGB106912|t__SGB106912	k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__GGB78205|s__GGB78205_SGB106912|t__SGB106912	2|976|768503|768507|1853232|||
k__Bacteria|p__Firmicutes|c__CFGB76511|o__OFGB76511|f__FGB76511|g__GGB28387|s__GGB28387_SGB40967|t__SGB40967	k__Bacteria|p__Firmicutes|c__CFGB2873|o__OFGB2873|f__FGB2873|g__GGB28387|s__GGB28387_SGB40967|t__SGB40967	2|1239||||||
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB1354|s__GGB1354_SGB104904|t__SGB104904	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__GGB1354|s__GGB1354_SGB104904|t__SGB104904	2|976|200643|171549|815|||
k__Bacteria|p__Bacteroidetes|c__CFGB24417|o__OFGB24417|f__FGB24417|g__GGB75160|s__GGB75160_SGB103632|t__SGB103632	k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__GGB75160|s__GGB75160_SGB103632|t__SGB103632	2|976|1853228|1853229|563835|||
k__Bacteria|p__Candidatus_Kryptonia|c__CFGB41212|o__OFGB41212|f__FGB41212|g__GGB47212|s__GGB47212_SGB51622|t__SGB51622	k__Archaea|p__Crenarchaeota|c__CFGB41212|o__OFGB41212|f__FGB41212|g__GGB47212|s__GGB47212_SGB51622|t__SGB51622	2157|28889||||||
k__Bacteria|p__Firmicutes|c__CFGB76370|o__OFGB76370|f__FGB76370|g__GGB9092|s__GGB9092_SGB14022|t__SGB14022	k__Bacteria|p__Firmicutes|c__CFGB2840|o__OFGB2840|f__FGB2840|g__GGB9092|s__GGB9092_SGB14022|t__SGB14022	2|1239||||||
k__Bacteria|p__Firmicutes|c__CFGB2102|o__OFGB2102|f__FGB2102|g__GGB5973|s__GGB5973_SGB4591|t__SGB4591	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3441|s__GGB3441_SGB4591|t__SGB4591	2|1239|186801|186802|186803|||
k__Bacteria|p__Firmicutes|c__CFGB10667|o__OFGB10667|f__FGB10667|g__GGB28981|s__GGB28981_SGB41694|t__SGB41694	k__Bacteria|p__Firmicutes|c__CFGB10667|o__OFGB10667|f__FGB10667|g__GGB32371|s__GGB32371_SGB41694|t__SGB41694	2|1239||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB25425|s__GGB25425_SGB37378|t__SGB37378	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__GGB25425|s__GGB25425_SGB37378|t__SGB37378	2|201174|84998|84999|1643824|||
k__Bacteria|p__Firmicutes|c__CFGB76353|o__OFGB76353|f__FGB76353|g__GGB47148|s__GGB47148_SGB47368|t__SGB47368	k__Bacteria|p__Firmicutes|c__CFGB9119|o__OFGB9119|f__FGB9119|g__GGB47148|s__GGB47148_SGB47368|t__SGB47368	2|1239||||||
k__Bacteria|p__Proteobacteria|c__CFGB76748|o__OFGB76748|f__FGB76748|g__GGB12467|s__GGB12467_SGB28474|t__SGB28474	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter_SGB28474|t__SGB28474	2|1224|29547|213849|72293|209||
k__Bacteria|p__Firmicutes|c__CFGB75492|o__OFGB75492|f__FGB75492|g__GGB78698|s__GGB78698_SGB106383|t__SGB106383	k__Bacteria|p__Firmicutes|c__CFGB75050|o__OFGB75050|f__FGB75050|g__GGB76187|s__GGB76187_SGB106383|t__SGB106383	2|1239||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__GGB79964|s__GGB79964_SGB15109|t__SGB15109	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9636|s__GGB9636_SGB15109|t__SGB15109	2|1239|186801|186802|216572|||
k__Bacteria|p__Bacteroidetes|c__CFGB9382|o__OFGB9382|f__FGB9382|g__GGB1521|s__GGB1521_SGB2103|t__SGB2103	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB1521|s__GGB1521_SGB2103|t__SGB2103	2|976|200643|171549|2005473|||
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB76652|o__OFGB76652|f__FGB76652|g__GGB31065|s__GGB31065_SGB44330|t__SGB44330	k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107|f__FGB2107|g__GGB31065|s__GGB31065_SGB44330|t__SGB44330	2|1798710||||||
